Country,Position
China,2nd
Argentina,2nd
Argentina,3rd
Argentina,3rd
Argentina,2nd
Argentina,3rd
Argentina,3rd
Argentina,3rd
Argentina,3rd
Argentina,1st
Argentina,2nd
Argentina,1st
Argentina,3rd
Argentina,1st
Argentina,1st
Argentina,1st
Argentina,2nd
China,3rd
China,1st
China,1st
China,1st
China,1st
China,3rd
China,1st
Australia,1st
Australia,2nd
Australia,3rd
Australia,1st
Australia,2nd
Canada,2nd
Canada,3rd
Canada,2nd
Canada,3rd
Colombia,1st
Denmark,1st
Denmark,3rd
Denmark,2nd
Denmark,3rd
Denmark,3rd
Denmark,3rd
Denmark,3rd
Denmark,2nd
Denmark,3rd
Denmark,3rd
Finland,2nd
Finland,2nd
Germany,2nd
Germany,1st
Germany,1st
Germany,1st
Germany,1st
Germany,1st
Germany,1st
Germany,3rd
Germany,1st
Germany,2nd
Germany,1st
Germany,2nd
Germany,2nd
Germany,1st
Germany,1st
Germany,1st
Germany,1st
Germany,1st
Germany,1st
Germany,1st
Germany,1st
Germany,2nd
Germany,1st
Germany,1st
Germany,1st
Germany,1st
Germany,1st
Germany,1st
Germany,1st
Germany,1st
Germany,1st
Germany,1st
Germany,1st
Germany,2nd
Germany,2nd
Germany,1st
China,3rd
Hungary,2nd
Hungary,2nd
Hungary,1st
Hungary,1st
Hungary,1st
Hungary,1st
Hungary,1st
Hungary,1st
Hungary,1st
Hungary,3rd
Hungary,2nd
Hungary,1st
Hungary,1st
Hungary,2nd
Hungary,2nd
Hungary,1st
Hungary,1st
Hungary,3rd
Hungary,2nd
Hungary,1st
Hungary,1st
Hungary,2nd
Hungary,1st
Hungary,2nd
Hungary,1st
Hungary,3rd
Hungary,3rd
Hungary,2nd
Hungary,1st
Hungary,1st
Hungary,3rd
Hungary,3rd
Hungary,2nd
Hungary,2nd
Hungary,1st
Hungary,2nd
Hungary,3rd
Hungary,3rd
Hungary,3rd
Hungary,1st
Hungary,1st
Hungary,3rd
Hungary,1st
Hungary,3rd
Hungary,3rd
Hungary,1st
Hungary,1st
Hungary,1st
Hungary,2nd
Hungary,2nd
Hungary,2nd
Hungary,1st
India,1st
India,3rd
India,1st
Ireland,1st
Ireland,2nd
Ireland,3rd
Ireland,3rd
Ireland,1st
Ireland,3rd
Ireland,1st
Ireland,3rd
Ireland,1st
Ireland,2nd
Ireland,1st
Ireland,1st
Ireland,1st
Ireland,1st
Ireland,2nd
Ireland,2nd
Ireland,2nd
Ireland,2nd
Ireland,1st
Ireland,3rd
Ireland,2nd
Ireland,2nd
Ireland,3rd
Ireland,2nd
Ireland,1st
Ireland,3rd
Ireland,2nd
Ireland,3rd
Ireland,1st
Ireland,3rd
Ireland,3rd
Ireland,2nd
Ireland,1st
Israel,2nd
Italy,1st
Italy,2nd
Italy,2nd
Italy,2nd
Italy,1st
Italy,3rd
Italy,1st
Italy,1st
Italy,3rd
Italy,3rd
Italy,3rd
Italy,2nd
Italy,3rd
Italy,1st
Italy,2nd
Italy,3rd
Italy,2nd
Italy,2nd
Italy,3rd
Italy,3rd
Italy,1st
Italy,2nd
Italy,1st
Italy,1st
Italy,3rd
Italy,1st
Italy,3rd
Italy,3rd
Italy,3rd
Italy,3rd
Italy,2nd
Italy,3rd
Italy,1st
Italy,2nd
Italy,1st
Italy,3rd
Italy,1st
Italy,1st
Italy,3rd
Italy,2nd
Italy,1st
Italy,1st
Italy,1st
Italy,1st
Italy,1st
Italy,1st
Italy,1st
Italy,1st
Italy,1st
Italy,2nd
Italy,1st
Italy,2nd
Italy,3rd
Italy,2nd
Italy,1st
Italy,1st
Italy,2nd
Italy,3rd
Italy,1st
Italy,3rd
Italy,2nd
Japan,2nd
Japan,3rd
Japan,1st
Japan,3rd
Japan,1st
Japan,3rd
Japan,3rd
Japan,2nd
Japan,3rd
Japan,2nd
Malaysia,1st
Malaysia,3rd
Malaysia,3rd
Mexico,3rd
Mexico,2nd
Mexico,1st
Mexico,2nd
Mexico,1st
Mexico,3rd
Mexico,3rd
Mexico,1st
Mexico,3rd
Mexico,2nd
Mexico,1st
Mexico,2nd
Mexico,3rd
Mexico,2nd
Mexico,1st
Mexico,2nd
Mexico,1st
Mexico,3rd
Mexico,1st
Mexico,3rd
Mexico,2nd
Mexico,1st
Mexico,3rd
Mexico,1st
Mexico,3rd
Mexico,2nd
Mexico,1st
Mexico,3rd
Mexico,1st
Mexico,2nd
Mexico,3rd
Mexico,1st
Mexico,2nd
Mexico,3rd
Mexico,3rd
Mexico,2nd
Mexico,3rd
Mexico,1st
Mexico,1st
Mexico,3rd
Mexico,3rd
Mexico,3rd
Mexico,3rd
Mexico,2nd
Mexico,2nd
Mexico,3rd
Mexico,1st
Mexico,2nd
Mexico,3rd
Mexico,1st
Mexico,2nd
Mexico,3rd
Mexico,3rd
Mexico,1st
Mexico,3rd
Mexico,1st
Mexico,2nd
Mexico,3rd
Mexico,1st
Mexico,2nd
Mexico,2nd
Mexico,2nd
Mexico,2nd
Mexico,3rd
Mexico,1st
Mexico,3rd
Mexico,1st
Mexico,3rd
Mexico,2nd
Mexico,1st
Mexico,3rd
Mexico,3rd
Mexico,3rd
Mexico,2nd
Mexico,1st
Mexico,2nd
Mexico,3rd
Mexico,1st
Mexico,1st
Mexico,1st
Mexico,1st
Mexico,1st
Mexico,1st
Mexico,1st
Mexico,1st
Mexico,1st
Mexico,1st
Mexico,1st
Mexico,1st
Mexico,3rd
Mexico,2nd
Mexico,1st
Mexico,2nd
Mexico,1st
Mexico,3rd
Mexico,2nd
Mexico,1st
Mexico,3rd
Mexico,2nd
Mexico,3rd
Mexico,1st
Mexico,1st
Mexico,2nd
Mexico,3rd
Mexico,2nd
Music,2nd
Philippines,1st
Philippines,1st
Poland,3rd
Poland,2nd
Poland,2nd
Poland,1st
Poland,1st
Poland,1st
Poland,1st
Poland,1st
Poland,1st
Poland,3rd
Poland,1st
Poland,2nd
Poland,2nd
Poland,3rd
Poland,2nd
Poland,2nd
Poland,2nd
Poland,1st
Poland,2nd
Poland,3rd
Poland,2nd
Poland,2nd
Poland,2nd
Poland,3rd
Poland,2nd
Poland,1st
Poland,2nd
Poland,3rd
Poland,2nd
Poland,1st
Poland,1st
Poland,2nd
Poland,1st
Poland,2nd
Poland,2nd
Poland,2nd
Poland,3rd
Poland,3rd
Poland,1st
Poland,2nd
Poland,3rd
Poland,3rd
Poland,2nd
Poland,1st
Poland,2nd
Poland,1st
Poland,2nd
Poland,2nd
Poland,2nd
Poland,2nd
Poland,2nd
Poland,2nd
Poland,3rd
Poland,1st
Poland,1st
Poland,1st
Poland,2nd
Poland,2nd
Poland,2nd
Poland,1st
Poland,2nd
Poland,1st
Poland,1st
Poland,2nd
Poland,1st
Poland,2nd
Poland,2nd
Russia,3rd
Slovakia,3rd
Slovakia,2nd
Slovakia,1st
Slovakia,3rd
Spain,1st
Spain,1st
Spain,1st
Spain,3rd
Spain,1st
Netherlands,3rd
Netherlands,2nd
Netherlands,2nd
England,2nd
England,3rd
England,2nd
England,1st
England,2nd
England,3rd
England,3rd
England,3rd
England,3rd
England,2nd
England,1st
England,1st
England,2nd
England,3rd
USA,3rd
USA,1st
USA,2nd
USA,3rd
USA,3rd
USA,2nd
USA,3rd
USA,2nd
USA,2nd
USA,2nd
USA,1st
USA,1st
USA,2nd
USA,1st
USA,3rd
USA,2nd
USA,1st
USA,3rd
USA,1st
USA,2nd
USA,3rd
USA,3rd
USA,1st
USA,3rd
USA,3rd
USA,2nd
USA,2nd
USA,2nd
USA,2nd
USA,1st
USA,2nd
USA,2nd
USA,3rd
USA,1st
USA,3rd
USA,2nd
USA,3rd
USA,1st
USA,1st
USA,1st
USA,2nd
USA,3rd
USA,2nd
USA,1st
USA,1st
USA,2nd
USA,1st
USA,2nd
USA,3rd
USA,1st
USA,2nd
USA,1st
USA,3rd
USA,2nd
USA,1st
USA,1st
USA,3rd
USA,3rd
USA,1st
USA,1st
USA,2nd
USA,2nd
USA,3rd
USA,2nd
USA,1st
USA,3rd
USA,1st
USA,3rd
USA,1st
USA,1st
USA,2nd
USA,3rd
USA,1st
USA,3rd
USA,1st
USA,1st
USA,2nd
USA,3rd
USA,1st
USA,1st
USA,2nd
USA,3rd
USA,1st
USA,3rd
USA,3rd
USA,2nd
USA,1st
USA,1st
USA,2nd
USA,1st
USA,2nd
USA,2nd
USA,2nd
USA,2nd
USA,1st
USA,1st
USA,3rd
USA,3rd
USA,2nd
USA,3rd
USA,2nd
USA,1st
USA,2nd
USA,1st
USA,3rd
USA,2nd
USA,2nd
USA,1st
USA,1st
USA,3rd
USA,2nd
USA,1st
USA,2nd
USA,1st
USA,2nd
USA,3rd
USA,2nd
USA,1st
USA,3rd
USA,1st
USA,3rd
USA,2nd
USA,3rd
USA,2nd
USA,3rd
USA,1st
USA,3rd
USA,2nd
USA,1st
USA,3rd
USA,2nd
USA,1st
USA,3rd
USA,3rd
USA,2nd
USA,1st
USA,1st
USA,1st
USA,3rd
USA,1st
USA,2nd
USA,2nd
USA,3rd
USA,2nd
USA,1st
USA,1st
USA,3rd
USA,2nd
USA,1st
USA,1st
USA,2nd
USA,3rd
USA,3rd
USA,2nd
USA,3rd
USA,3rd
USA,3rd
USA,1st
USA,1st
USA,1st
USA,3rd
USA,1st
USA,2nd
USA,2nd
USA,1st
USA,3rd
USA,3rd
USA,2nd
USA,2nd
England,2nd
England,3rd
England,2nd
England,1st
England,1st
England,1st
England,1st
England,1st
England,1st
England,1st
England,1st
England,1st
England,1st
England,1st
England,1st
England,1st
England,1st
England,3rd
England,3rd
England,1st
England,1st
England,3rd
England,2nd
England,1st
England,2nd
England,3rd
England,1st
England,3rd
England,3rd
England,3rd
England,3rd
England,2nd
England,2nd
England,2nd
England,3rd
England,2nd
England,2nd
England,3rd
England,2nd
England,3rd
England,1st
England,1st
England,2nd
England,3rd
England,1st
England,3rd
England,1st
England,2nd
England,2nd
England,1st
England,3rd
England,3rd
England,2nd
England,1st
England,2nd
England,3rd
England,2nd
England,2nd
England,1st
England,3rd
England,3rd
USA,3rd
USA,2nd
USA,3rd
USA,1st
USA,2nd
USA,3rd
USA,3rd
USA,2nd
USA,1st
USA,1st
USA,1st
USA,3rd
USA,2nd
USA,1st
USA,2nd
USA,3rd
USA,1st
USA,1st
USA,1st
USA,1st
USA,3rd
USA,2nd
USA,2nd
USA,1st
USA,2nd
USA,3rd
USA,2nd
USA,3rd
USA,2nd
USA,1st
USA,3rd
USA,3rd
USA,2nd
USA,3rd
USA,3rd
USA,1st
Vietnam,1st
Vietnam,1st
Vietnam,2nd
Vietnam,3rd
Vietnam,2nd
Vietnam,1st
Vietnam,2nd
Vietnam,2nd
Vietnam,3rd
Vietnam,2nd
Vietnam,1st
Vietnam,3rd
Vietnam,2nd
Vietnam,1st
Vietnam,2nd
Vietnam,1st
Vietnam,1st
Vietnam,3rd
Vietnam,2nd
Vietnam,1st
Vietnam,3rd
Vietnam,2nd
Vietnam,1st
Vietnam,2nd
Vietnam,1st
Vietnam,3rd
Vietnam,2nd
Vietnam,1st
Vietnam,1st
Vietnam,1st
Vietnam,3rd
Vietnam,2nd
Vietnam,1st
Vietnam,3rd
Vietnam,2nd
Vietnam,1st
Vietnam,1st
Vietnam,2nd
Vietnam,1st
Vietnam,3rd
Vietnam,3rd
Vietnam,2nd
Vietnam,1st
Vietnam,3rd
Vietnam,3rd
Vietnam,2nd
Vietnam,1st
Vietnam,2nd
Vietnam,1st
Vietnam,3rd
Vietnam,2nd
Vietnam,2nd
Vietnam,1st
Vietnam,3rd
Vietnam,3rd
Vietnam,2nd
Vietnam,1st
Vietnam,3rd
Vietnam,2nd
Vietnam,1st
Vietnam,3rd
Vietnam,2nd
Vietnam,1st
Vietnam,3rd
Vietnam,2nd
Vietnam,3rd
Vietnam,3rd